index,docID,keyword
66758.0,WOS:000529206200023,molecular photonic wires
66758.0,WOS:000529206200023,dna nanotechnology
66758.0,WOS:000529206200023,dna origami
66758.0,WOS:000529206200023,energy transfer
66758.0,WOS:000529206200023,homogenous fret
66758.0,WOS:000529206200023,machine learning
70310.0,WOS:000577624800072,smart homes
70310.0,WOS:000577624800072,software
70310.0,WOS:000577624800072,google
70310.0,WOS:000577624800072,encryption
70310.0,WOS:000577624800072,cameras
70310.0,WOS:000577624800072,internet of things
70310.0,WOS:000577624800072,abuse cases
70310.0,WOS:000577624800072,cyber security
70310.0,WOS:000577624800072,home automation
70310.0,WOS:000577624800072,internet of things (iot)
70310.0,WOS:000577624800072,misuse cases
70310.0,WOS:000577624800072,security postures
70310.0,WOS:000577624800072,smart devices
70310.0,WOS:000577624800072,smart homes
70310.0,WOS:000577624800072,vulnerabilities
86664.0,WOS:000572093100006,project performance
86664.0,WOS:000572093100006,entrepreneurship orientation
86664.0,WOS:000572093100006,machine learning
86664.0,WOS:000572093100006,supervised learning
86664.0,WOS:000572093100006,predictive analytics
30492.0,WOS:000544236100075,machine learning
30492.0,WOS:000544236100075,mimic learning
30492.0,WOS:000544236100075,intrusion detection system
30881.0,WOS:000567609700047,security
30881.0,WOS:000567609700047,privacy
30881.0,WOS:000567609700047,smart farming
30881.0,WOS:000567609700047,precision agriculture
30881.0,WOS:000567609700047,cloud computing
30881.0,WOS:000567609700047,edge computing
30881.0,WOS:000567609700047,cyber physical systems
30881.0,WOS:000567609700047,iot
30881.0,WOS:000567609700047,artificial intelligence (ai)
30881.0,WOS:000567609700047,machine learning
30881.0,WOS:000567609700047,layered architecture
1319.0,WOS:000562068700001,radio frequency
1319.0,WOS:000562068700001,machine learning
1319.0,WOS:000562068700001,wireless communication
1319.0,WOS:000562068700001,signal to noise ratio
1319.0,WOS:000562068700001,robustness
1319.0,WOS:000562068700001,data models
1319.0,WOS:000562068700001,training
1319.0,WOS:000562068700001,radio frequency learning
1319.0,WOS:000562068700001,signal-to-noise ratio
1319.0,WOS:000562068700001,training and testing strategy
1319.0,WOS:000562068700001,spectrum data
1319.0,WOS:000562068700001,convolutional neural network
30992.0,WOS:000588926100001,social media
30992.0,WOS:000588926100001,rumor detection
30992.0,WOS:000588926100001,time-series data
30992.0,WOS:000588926100001,machine learning
30992.0,WOS:000588926100001,deep learning
30992.0,WOS:000588926100001,twitter
29210.0,WOS:000541136100001,ieee 802
29210.0,WOS:000541136100001,11 standard
29210.0,WOS:000541136100001,machine learning
29210.0,WOS:000541136100001,sensors
29210.0,WOS:000541136100001,media access protocol
29210.0,WOS:000541136100001,wireless communication
29210.0,WOS:000541136100001,training
29210.0,WOS:000541136100001,medium access control (mac)
29210.0,WOS:000541136100001,spectrum sensing
29210.0,WOS:000541136100001,deep learning
29210.0,WOS:000541136100001,convolutional neural network (cnn)
76638.0,WOS:000564113700001,computer-aided diagnosis systems
76638.0,WOS:000564113700001,machine learning
76638.0,WOS:000564113700001,kinetic features
76638.0,WOS:000564113700001,morphologic features
76638.0,WOS:000564113700001,magnetic resonance imaging
76638.0,WOS:000564113700001,breast cancer
99940.0,WOS:000588187900001,cardiovascular disease
99940.0,WOS:000588187900001,ischemic heart disease
99940.0,WOS:000588187900001,machine learning
99940.0,WOS:000588187900001,quality measures
99940.0,WOS:000588187900001,risk factors
49797.0,WOS:000535739300060,catalysts
49797.0,WOS:000535739300060,surface segregation energy
49797.0,WOS:000535739300060,density functional theory
49797.0,WOS:000535739300060,machine learning
49797.0,WOS:000535739300060,bimetallic alloys
40773.0,WOS:000541688200001,margin setting algorithm
40773.0,WOS:000541688200001,machine learning
40773.0,WOS:000541688200001,activity recognition
40773.0,WOS:000541688200001,supervised learning
40773.0,WOS:000541688200001,smart environment
